1126679496,00881998X
4315540-6,00881516X
4400452-7,00880771X
4400551-9,008792968
1034747711,008792925
4382604-0,008750556
1240509782,00874601X
4617836-3,008733635
1025557328,008723486
4806918-8,00872346X
4668137-1,008706271
7557132-8,008702233
4452655-6,008700079
4458978-5,008673233
1037014960,008670250
1225426200,008645825
4810822-4,00864523X
4222708-2,008645221
4090203-1,008645175
4223808-0,008645132
4279519-9,008645116
4321014-4,008645108
4069841-5,008591237
7532303-5,008554137
7526016-5,008550123
1105507912,008531978
4680164-9,008531919
1125972831,008531846
7605362-3,008521506
1158602936,008518661
4076805-3,008511624
7520601-8,00850878X
1025871022,008508755
4609101-4,008508747
4602920-5,008504334
1161764585,008501386
7695438-9,008494436
1121611524,008490074
1271909065,008489874
4724038-6,008473153
7517502-2,008436800
4820986-7,008435901
1078961964,008428255
4358336-2,008413924
7586561-0,008405913
4831697-0,008402450
7667100-8,008396191
4440239-9,00839038X
7787114-5,008359822
4293085-6,008352224
4454384-0,008342148
4948799-1,008338493
4649794-8,008321639
4313538-9,008300178
4509278-3,008292256
1061221903,008267650
4370582-0,008261407
1253944024,008259410
7670185-2,008105642
4369068-3,008105383
1047378906,008105286
4547515-5,008096007
4222302-7,008091072
1105691640,008081093
4656091-9,008081026
1058255258,008079587
4362251-3,008070172
4199094-8,008028451
4503392-4,008015910
7626795-7,008015899
4096339-1,008015805
4634012-9,008012873
4545253-2,008005346
7596423-5,00800532X
1164542451,007999437
4224935-1,00798023X
4690058-5,007970420
4720309-2,007970412
4542132-8,007953828
4770210-2,00795381X
4595922-5,007947372
4747292-3,007947364
4658753-6,007935048
1284495027,007933460
7616853-0,007929307
4842901-6,007906579
4443335-9,007906560
1084802953,007905645
7752633-8,007895747
7558509-1,007895720
4352787-5,007865929
7606410-4,007865333
4440449-9,007863799
4779747-2,007863721
4370115-2,007858833
4392441-4,007857772
4079298-5,007855370
4456853-8,007854277
1129473147,007844042
4436368-0,007844018
4347243-6,007832362
4440960-6,007827334
4313575-4,007824785
4495846-8,007818610
4277568-1,007811446
4194498-7,007802978
1219693227,007795831
4566601-5,007795823
4104219-0,00779164X
4261067-9,007780028
1118655222,007766750
4389954-7,00776670X
4247252-0,007747411
4263560-3,007737602
4734421-0,007707207
4776439-9,007707185
4415742-3,00770688X
4075066-8,007691610
4122587-9,007691408
4419880-2,007690169
4197960-6,007689667
1226836097,00768830X
4506845-8,007684150
4740745-1,007683723
4741682-8,007671881
4609248-1,007659717
4724078-7,007648286
4580165-4,007634986
1029364710,00763398X
4225549-1,007611862
4768319-3,007608314
1216909725,00760825X
4318819-9,007604998
4726566-8,007575181
7650906-0,007571232
4641456-3,007569696
4644525-0,007567405
4320561-6,007528590
4527305-4,007526997
1217739319,007518935
4406599-1,007518617
4565502-9,007500629
4506855-0,007488661
4741928-3,007486367
4663862-3,007457804
7742682-4,007456425
4459147-0,007450095
7623787-4,007439970
4786183-6,007439768
4833242-2,007432461
7516669-0,007429738
4209648-0,007406738
4248203-3,007319746
4381809-2,00731681X
1192548647,007138008
7683133-4,007111738
4377996-7,007109695
4210549-3,007109245
1205764607,007103417
4528126-9,007087195
4361330-5,007087071
4315004-4,007086059
4204453-4,007080247
4724039-8,007075855
1124115579,007067976
1052570585,007067968
1153025590,007066422
7642416-9,007059507
4728877-2,007047630
4620029-0,007047606
7629350-6,007046502
4511693-3,007031467
4810063-8,007029128
1042486751,007025319
4341634-2,007019394
4228478-8,006940684
4735066-0,006914055
7863513-5,006914020
7648054-9,006914012
