qid,coords
Q14537006,50.0462|10.233
Q327940,41.387666666667|2.1752777777778
Q3272450,-12.972833333333|-38.510333333333
Q1991082,53.8564|13.6897
Q808125,50.9756|11.03
Q2241454,51.5589|13.0089
Q208559,59.321694|17.886383
Q327983,41.07|14.325833333333
Q10344013,50.8283|6.9077
Q462239,51.0089|13.8702
Q29265,51.279811|1.083001
Q18286342,50.390846|10.651902
Q335277,48.8575|2.34166666666667
Q1545193,52.380833333333|4.6363888888889
Q584428,42.6399|18.1104
Q34925,41.893333333333|12.483055555556
Q41275764,47.85052|12.78501
Q27909660,48.54446|12.15272
Q675515,47.0505310801077|8.30519376568592
Q2030210,48.208654|16.37325
Q1699230,50.97799735|11.0351139711002
Q862602,44.4895|11.3445
Q636700,50.0013|8.25865
Q204332,48.29216|15.90616
Q509104,45.473869|9.184669
Q1640315,47.8888|10.1376
Q958699,45.07332|7.685435
Q2321744,48.3992|9.9875
Q2558884,49.4679|7.17095
Q566436,51.0488888888889|13.7275
Q538301,50.810194444444|8.767
Q808122,48.3695|10.9009
Q1492013,48.7636|11.4247
Q638283,41.899583333333|12.474666666667
Q38275139,51.200784|11.971504
Q12506,41.0083333333333|28.98
Q391229,50.606502|3.388903
Q1530171,52.2589|9.04361
Q2222012,51.9415|11.3045
Q1020430,52.26|9.05062
Q2241546,52.0189|10.7806
Q1674603,48.2053|16.3647
Q128468,51.5555555555556|-0.279444444444444
Q2222404,48.204486|16.373566
Q257481,48.30023|14.28604
Q644028,52.5159|13.229
Q32664282,52.547718|13.416108
Q61857566,50.722331|11.341192
Q15302953,46.715676|11.65749
Q1866506,53.39751|-2.97305
Q175874,42.59944444|-5.56666667
Q156675,47.6806|10.900445
Q830685,54.710822222222|20.520227777778
Q1478455,52.2675|10.525217
Q1132503,43.112686111111|12.389208333333
Q1257533,49.0183333333333|12.0916666666667
Q239028,50.83514|4.41625
Q154563,52.519166666667|13.401111111111
Q1130137,50.09|14.4156
Q896879,49.9480555555556|11.6238888888889
Q193193,48.855369|2.345028
Q58181627,50.87814|0.06409
Q532191,48.1409|11.58002
Q76950528,41.9006777|12.4857598
Q565670,52.52393|13.3881
Q2942566,43.4863874229974|13.4804052285212
Q1886229,41.8967643258305|12.4720490099571
Q5911869,38.021666666667|-3.6229722222222
Q312220,45.814444444444|15.979722222222
Q2241076,50.9923|10.5447
Q686720,48.2004888888889|16.3727388888889
Q96623003,48.2004888888889|16.3727388888889
Q1143171,50.061666666667|19.939166666667
Q317346,51.1824|14.4237
Q1237968,51.9619|7.63083
Q41348891,49.591682|10.355151
Q1892101,45.1361|7.04294
Q1192577,41.89877|12.4726
Q2557858,43.933219|10.9179
Q2031901,41.8982328769399|12.4691257060596
Q1365690,51.21076425|10.4502136220809
Q1520841,48.898055555556|2.0963888888889
Q334442,51.964078|7.622994
Q442394,53.3248|11.4882
Q1534288,43.362583|-5.843081
Q1236543,52.5367777777778|17.5926388888889
Q1450359,49.0181|12.1019
Q7590800,46.6714|11.165
Q314517,50.553992|9.672008
Q368576,49.455314|11.076475
Q2428526,50.9676|11.0275
Q16831360,47.430434|13.257281
Q5910277,-33.44743889|-70.65683889
Q2251849,50.7243|7.07728
Q20196262,52.5175|13.40277778
Q28785,48.88665|2.34295
Q5938,51.154722222222|11.803888888889
Q18913009,50.852663361111|10.882864583333
Q46117726,50.69384295|11.5953834457927
Q73752090,50.739933|11.799339
Q15848589,51.439389|10.570914
Q18413301,50.6076388888889|10.4389166666667
Q15129737,51.018871|11.430915
Q16479204,50.50944444|10.75055556
Q2321674,50.80932035|11.4750800339151
Q14912432,50.7891|11.505
Q84611729,50.97293|11.53635
Q15109672,50.83355556|11.60347222
Q16857154,51.1091489|10.641035545084
Q14538281,51.016|11.7345
Q819914,50.584|11.8035
Q114829959,51.15975605|10.4523041267541
Q15119841,50.912297|11.300228
Q1034853,38.110833333333|13.353611111111
Q2410105,42.570722222222|-0.54919444444444
Q1499912,40.950181|-4.125623
Q1087367,49.4846|8.4807
Q35525,38.8977777777778|-77.0366666666667
Q3531558,47.365986|8.537664
Q458821,51.8665|12.6448
Q1263246,52.204722222222|0.11638888888889
Q1339429,49.84777778|3.29
Q106934,49.89457|2.3021
Q63000434,51.33827|12.37726
Q33102955,53.351861|8.464987
Q2063901,51.33903|12.37931
Q1240164,50.9272|11.58
Q167193,48.1385785873577|11.5736157231262
Q1930141,50.9793|11.0282
Q173882,51.5137777777778|-0.0983055555555556
Q700070,55.32804|8.7615
Q318798,51.338922222222|12.379961111111
Q825047,51.1137|13.7531
Q1364052,48.7421|9.306
Q262563,47.071944444444|15.442222222222
Q272162,51.5047222222222|-0.137777777777778
Q1259104,52.5725|-0.23944444444444
Q11259,40.7575|-73.9858333333333
Q1791798,51.051|13.7385
Q581762,50.0051|7.8535
Q193639,51.50105|-0.17748
Q155210,52.518611111111|13.408333333333
Q682188,50.943225|6.945967
Q41288408,48.3845|10.9116
Q739364,51.495825|-0.139475
Q1796145,48.805973|2.122722
Q572269,51.995278|5.458333
Q62408,51.499444444444|-0.12416666666667
Q3516746,45.1578|10.7981
Q27478841,50.804|11.61282
Q1332652,23.61406|58.468721
Q1897837,51.2101867|10.4551936571883
Q1236695,52.9172|9.228483
Q873562,53.0737|8.80821
Q315694,52.514444|13.392222
Q513300,49.4325|2.0813888888889
Q170495,41.013|28.984
Q359242,52.5208|13.3886
Q1751141,52.6797|13.5872
Q1385934,28.10083333|-15.41472222
Q3585434,45.43694444|12.33833333
Q819898,50.086894|8.239194
Q1897813,50.1367|8.91861
Q695038,53.07548|8.80906
Q225459,54.7063888888889|20.5116666666667
Q615183,35.714555555556|139.79663888889
Q1281237,54.685888888889|25.287877777778
Q254476,48.21545|16.3591
Q700199,48.208|16.367
Q1131208,50.7225|-3.52972222222222
Q616790,53.546|9.994375
Q573881,43.774888888889|11.253863888889
Q2097254,59.9367|30.3239
Q153951,52.504722222222|13.335277777778
Q279089,48.3727435878938|10.8965657117346
Q316021,52.508|13.2769
Q3983259,41.8931|12.4795
Q2241975,51.7536|11.9767
Q1348242,51.9609|7.63222
Q677383,52.401301|13.01603
Q671066,49.120278|6.175556
Q679101,52.520556|13.406667
Q5104654,29.5727777777778|106.577777777778
Q66507250,47.803417|13.041927
Q157229,51.051944444444|13.741666666667
Q15825826,47.448479|12.389268
Q22720,49.317222|8.4425
Q1649692,52.1715555555556|14.2484722222222
Q673223,53.54141667|9.98419444
Q5471,45.4675|9.18916666666667
Q923702,43.77127778|11.24959722
Q669544,46.5225|6.63555555555556
Q167231,52.148889|9.947222
Q1776168,38.714722222222|-9.1277777777778
Q661125,49.995555555556|8.2686111111111
Q25480587,52.50522|13.37745
Q215023,63.4269|10.3969
Q378143,35.6852777777778|-121.167777777778
Q180274,48.4477777777778|1.48777777777778
Q24719360,50.68806|6.89468
Q1618736,53.8778|10.7069
Q1710826,50.8981|10.5558
Q1257684,47.8794|10.6213
Q1921157,51.4331|6.77111
Q936545,52.0909203522876|5.12223326115842
Q252555,48.8919228763653|11.1833823035637
Q875365,53.549255|9.997706
Q230364,52.4853|13.5283
Q1903216,51.9346|8.88071
Q135737,51.456|7.014
Q391274,51.977822|7.291656
Q41225,51.50067|-0.12457
Q262769,48.3989265306119|11.7464953059728
Q450953,50.9411|6.9573
Q5924,49.890703|10.882533
Q57341,50.110556|8.685
Q701567,50.975869|11.023414
Q1236627,53.3001|10.3897
Q1236544,52.3581|14.0653
Q902532,45.55|11.549166666667
Q2244330,51.9639|12.0818
Q1853707,52.3675|4.905278
Q875735,52.2447|10.8157
Q630576,50.226462203654|8.6115912206596
Q686773,49.7533333333333|6.64333333333333
Q1766940,52.8495|11.1493
Q810139,45.40137|11.88053
Q2287001,43.7769|11.26128
Q254650,51.5941666666667|-0.130833333333333
Q3674338,43.719325|10.40095278
Q2413504,48.1561022407036|11.5003802289304
Q2324837,52.5178|13.3917
Q2465868,51.4346|6.93761
Q1699871,49.6787|9.00483
Q1542156,48.3678|10.8953
Q1447091,52.5169|13.4131
Q131330,48.18479|16.31227
Q3531558,47.365986|8.537664
Q1015107,47.4523042739742|10.2835899015397
Q5949,50.0908333333333|14.4005555555556
Q402221,45.3076318|18.4109235
Q323756,51.33784|12.38634
Q2196869,41.65456|-0.87585
Q15042373,-33.43765833|-70.65180556
Q1582758,36.720042|-4.42012
Q151545,50.9661111111111|10.3063888888889
Q571282,46.987222222222|3.1572222222222
Q517334,49.0136|8.40444
Q913182,45.1335|10.0255
Q674472,53.548333|9.978889
Q278908,49.9443446976773|11.5786636208644
Q44562,48.398611111111|9.9925
Q295844,48.851002|2.334923
Q666960,49.998889|8.273889
Q875568,50.9458|10.7044
Q15130968,49.30117|10.57099
Q15088971,47.141436|7.246564
Q86458101,50.94627|10.70441
Q1636460,50.7179|12.4952
Q15848648,50.8956864|12.35439008209
Q15803946,51.17581235|11.4189128010929
Q1877938,50.99092095|11.0267530710348
Q1362663,41.90827|12.48252
Q5933,51.4994|-0.127367
Q207486,43.07484|12.60581
Q647987,54.511666666667|9.5413888888889
Q32653910,52.51|13.37
Q1546811,50.5536|11.7156
Q708532,51.9631|7.62556
Q5419362,37.17599|-3.59904
Q250212,47.995556|7.852222
Q542329,50.2715|8.56666
Q808382,48.2146|16.3803
Q246474,52.524722|13.394444
Q1548233,53.228592|7.449092
Q610961,19.4343942|-99.1330824
Q33200,37.8788654292767|-4.77934163461387
Q154996,52.521111|13.295833
Q1287889,44.80334|10.33092
Q259799,48.141944444444|11.576388888889
Q2407092,45.406388888889|11.871666666667
Q2261322,41.9875|2.82638889
Q2776250,51.317153|9.501097
Q41276709,49.01992|12.08744
Q225471,51.508888888889|-0.13944444444444
Q693869,48.2056694444444|16.3677
Q1991117,54.3228|10.14
Q2542886,48.2253|15.1562
Q3983228,40.424502777778|15.005377777778
Q437807,48.305|14.2879
Q262306,47.2684|11.3953
Q1236564,46.050714261|14.508242129
Q191739,43.7730555555556|11.2569444444444
Q684119,43.7727|11.255817
