gndid,coords
4315540-6,50.0462|10.233
4400452-7,41.387666666667|2.1752777777778
4806918-8,-12.972833333333|-38.510333333333
4668137-1,53.8564|13.6897
4452655-6,50.9756|11.03
4458978-5,51.5589|13.0089
4810822-4,59.321694|17.886383
4222708-2,41.07|14.325833333333
4090203-1,50.8283|6.9077
4279519-9,51.0089|13.8702
4069841-5,51.279811|1.083001
7532303-5,50.390846|10.651902
7526016-5,48.8575|2.34166666666667
4680164-9,52.380833333333|4.6363888888889
7605362-3,42.6399|18.1104
4076805-3,41.893333333333|12.483055555556
7520601-8,47.85052|12.78501
1025871022,48.54446|12.15272
4602920-5,47.0505310801077|8.30519376568592
7695438-9,48.208654|16.37325
4724038-6,50.97799735|11.0351139711002
4358336-2,44.4895|11.3445
4831697-0,50.0013|8.25865
4293085-6,48.29216|15.90616
4948799-1,45.473869|9.184669
4649794-8,47.8888|10.1376
4509278-3,45.07332|7.685435
4370582-0,48.3992|9.9875
4369068-3,49.4679|7.17095
1047378906,51.0488888888889|13.7275
4547515-5,50.810194444444|8.767
4222302-7,48.3695|10.9009
4362251-3,48.7636|11.4247
4199094-8,41.899583333333|12.474666666667
4503392-4,51.200784|11.971504
4096339-1,41.0083333333333|28.98
4224935-1,50.606502|3.388903
4690058-5,52.2589|9.04361
4720309-2,51.9415|11.3045
4542132-8,52.26|9.05062
4770210-2,52.0189|10.7806
1284495027,48.2053|16.3647
7616853-0,51.5555555555556|-0.279444444444444
4842901-6,48.204486|16.373566
4443335-9,48.30023|14.28604
1084802953,52.5159|13.229
7752633-8,52.547718|13.416108
7558509-1,50.722331|11.341192
7606410-4,46.715676|11.65749
4370115-2,53.39751|-2.97305
4392441-4,42.59944444|-5.56666667
4079298-5,47.6806|10.900445
1129473147,54.710822222222|20.520227777778
4436368-0,52.2675|10.525217
4347243-6,43.112686111111|12.389208333333
4313575-4,49.0183333333333|12.0916666666667
4277568-1,50.83514|4.41625
4194498-7,52.519166666667|13.401111111111
1219693227,50.09|14.4156
4104219-0,49.9480555555556|11.6238888888889
4389954-7,48.855369|2.345028
4415742-3,50.87814|0.06409
4075066-8,48.1409|11.58002
4419880-2,41.9006777|12.4857598
4197960-6,52.52393|13.3881
4506845-8,43.4863874229974|13.4804052285212
4740745-1,41.8967643258305|12.4720490099571
4741682-8,38.021666666667|-3.6229722222222
4609248-1,45.814444444444|15.979722222222
4724078-7,50.9923|10.5447
4580165-4,48.2004888888889|16.3727388888889
1029364710,48.2004888888889|16.3727388888889
4225549-1,50.061666666667|19.939166666667
4318819-9,51.1824|14.4237
7650906-0,51.9619|7.63083
4641456-3,49.591682|10.355151
4320561-6,45.1361|7.04294
4527305-4,41.89877|12.4726
4406599-1,43.933219|10.9179
4459147-0,41.8982328769399|12.4691257060596
4833242-2,51.21076425|10.4502136220809
7516669-0,48.898055555556|2.0963888888889
4209648-0,51.964078|7.622994
4248203-3,53.3248|11.4882
4381809-2,43.362583|-5.843081
