Q14537006,4315540-6
Q327940,4400452-7
Q3272450,4806918-8
Q1991082,4668137-1
Q808125,4452655-6
Q2241454,4458978-5
Q208559,4810822-4
Q327983,4222708-2
Q10344013,4090203-1
Q462239,4279519-9
Q29265,4069841-5
Q18286342,7532303-5
Q335277,7526016-5
Q1545193,4680164-9
Q584428,7605362-3
Q34925,4076805-3
Q41275764,7520601-8
Q27909660,1025871022
Q675515,4602920-5
Q2030210,7695438-9
Q1699230,4724038-6
Q862602,4358336-2
Q636700,4831697-0
Q204332,4293085-6
Q509104,4948799-1
Q1640315,4649794-8
Q958699,4509278-3
Q3982334,1061221903
Q2321744,4370582-0
Q2558884,4369068-3
Q566436,1047378906
Q538301,4547515-5
Q808122,4222302-7
Q1492013,4362251-3
Q638283,4199094-8
Q38275139,4503392-4
Q12506,4096339-1
Q391229,4224935-1
Q1530171,4690058-5
Q2222012,4720309-2
Q1020430,4542132-8
Q2241546,4770210-2
Q1674603,1284495027
Q128468,7616853-0
Q2222404,4842901-6
Q257481,4443335-9
Q644028,1084802953
Q32664282,7752633-8
Q61857566,7558509-1
Q15302953,7606410-4
Q1866506,4370115-2
Q175874,4392441-4
Q156675,4079298-5
Q830685,1129473147
Q1478455,4436368-0
Q1132503,4347243-6
Q1257533,4313575-4
Q239028,4277568-1
Q154563,4194498-7
Q1130137,1219693227
Q896879,4104219-0
Q193193,4389954-7
Q58181627,4415742-3
Q532191,4075066-8
Q76950528,4419880-2
Q565670,4197960-6
Q2942566,4506845-8
Q1886229,4740745-1
Q5911869,4741682-8
Q312220,4609248-1
Q2241076,4724078-7
Q686720,4580165-4
Q96623003,1029364710
Q1143171,4225549-1
Q317346,4318819-9
Q1237968,7650906-0
Q41348891,4641456-3
Q1892101,4320561-6
Q1192577,4527305-4
Q2557858,4406599-1
Q2031901,4459147-0
Q1365690,4833242-2
Q1520841,7516669-0
Q334442,4209648-0
Q442394,4248203-3
Q1534288,4381809-2
Q1236543,4377996-7
Q1450359,4210549-3
Q7590800,4528126-9
Q314517,4361330-5
Q368576,4204453-4
Q2428526,4724039-8
Q16831360,1124115579
Q5910277,1153025590
Q2251849,4728877-2
Q20196262,1042486751
Q28785,4341634-2
Q5938,4228478-8
Q18913009,4735066-0
Q46117726,7863513-5
Q73752090,7569661-7
Q15848589,7740834-2
Q18413301,7662336-1
Q15129737,4833241-0
Q16479204,4368754-4
Q2321674,7515912-0
Q14912432,4798066-7
Q84611729,4842876-0
Q15109672,4785592-7
Q16857154,7743204-6
Q14538281,4784966-6
Q819914,4454316-5
Q114829959,1129201058
Q15119841,1065613059
Q1034853,4235243-5
Q2410105,4751091-2
Q1499912,4295942-1
Q1087367,4708526-5
Q35525,4331244-5
Q3531558,1069792462
Q458821,4456857-5
Q1263246,4409927-7
Q1339429,4324706-4
Q106934,4068648-6
Q63000434,1170723691
Q33102955,1150199253
Q2063901,112442153X
Q1240164,4754677-3
Q167193,4104564-6
Q1930141,4647826-7
Q173882,4223812-2
Q700070,4477661-5
Q318798,4294583-5
Q825047,4407464-5
Q1364052,4221082-3
Q262563,4514224-5
Q272162,4659527-2
Q1259104,4480297-3
Q11259,4295532-4
Q1791798,1060085488
Q581762,4844020-6
Q193639,4801064-9
Q155210,4272961-0
Q682188,4104450-2
Q41288408,1191110893
Q739364,4385860-0
Q1796145,4577527-8
Q572269,7850118-0
Q62408,4419985-5
Q3516746,4451846-8
Q27478841,1093881259
Q1332652,1099329957
Q1897837,4218152-5
