gndid,qid
4315540-6,Q14537006
4400452-7,Q327940
4806918-8,Q3272450
4668137-1,Q1991082
4452655-6,Q808125
4458978-5,Q2241454
4810822-4,Q208559
4222708-2,Q327983
4090203-1,Q10344013
4279519-9,Q462239
4069841-5,Q29265
7532303-5,Q18286342
7526016-5,Q335277
4680164-9,Q1545193
7605362-3,Q584428
4076805-3,Q34925
7520601-8,Q41275764
1025871022,Q27909660
4602920-5,Q675515
7695438-9,Q2030210
4724038-6,Q1699230
4358336-2,Q862602
4831697-0,Q636700
4293085-6,Q204332
4948799-1,Q509104
4649794-8,Q1640315
4509278-3,Q958699
1061221903,Q3982334
4370582-0,Q2321744
4369068-3,Q2558884
1047378906,Q566436
4547515-5,Q538301
4222302-7,Q808122
4362251-3,Q1492013
4199094-8,Q638283
4503392-4,Q38275139
4096339-1,Q12506
4224935-1,Q391229
4690058-5,Q1530171
4720309-2,Q2222012
4542132-8,Q1020430
4770210-2,Q2241546
1284495027,Q1674603
7616853-0,Q128468
4842901-6,Q2222404
4443335-9,Q257481
1084802953,Q644028
7752633-8,Q32664282
7558509-1,Q61857566
7606410-4,Q15302953
4370115-2,Q1866506
4392441-4,Q175874
4079298-5,Q156675
1129473147,Q830685
4436368-0,Q1478455
4347243-6,Q1132503
4313575-4,Q1257533
4277568-1,Q239028
4194498-7,Q154563
1219693227,Q1130137
4104219-0,Q896879
4389954-7,Q193193
4415742-3,Q58181627
4075066-8,Q532191
4419880-2,Q76950528
4197960-6,Q565670
4506845-8,Q2942566
4740745-1,Q1886229
4741682-8,Q5911869
4609248-1,Q312220
4724078-7,Q2241076
4580165-4,Q686720
1029364710,Q96623003
4225549-1,Q1143171
4318819-9,Q317346
7650906-0,Q1237968
4641456-3,Q41348891
4320561-6,Q1892101
4527305-4,Q1192577
4406599-1,Q2557858
4459147-0,Q2031901
4833242-2,Q1365690
7516669-0,Q1520841
4209648-0,Q334442
4248203-3,Q442394
4381809-2,Q1534288
4377996-7,Q1236543
4210549-3,Q1450359
4528126-9,Q7590800
4361330-5,Q314517
4204453-4,Q368576
4724039-8,Q2428526
1124115579,Q16831360
1153025590,Q5910277
4728877-2,Q2251849
1042486751,Q20196262
4341634-2,Q28785
4228478-8,Q5938
4735066-0,Q18913009
7863513-5,Q46117726
7569661-7,Q73752090
7740834-2,Q15848589
7662336-1,Q18413301
4833241-0,Q15129737
4368754-4,Q16479204
7515912-0,Q2321674
4798066-7,Q14912432
4842876-0,Q84611729
4785592-7,Q15109672
7743204-6,Q16857154
4784966-6,Q14538281
4454316-5,Q819914
1129201058,Q114829959
1065613059,Q15119841
4235243-5,Q1034853
4751091-2,Q2410105
4295942-1,Q1499912
4708526-5,Q1087367
4331244-5,Q35525
1069792462,Q3531558
4456857-5,Q458821
4409927-7,Q1263246
4324706-4,Q1339429
4068648-6,Q106934
1170723691,Q63000434
1150199253,Q33102955
112442153X,Q2063901
4754677-3,Q1240164
4104564-6,Q167193
4647826-7,Q1930141
4223812-2,Q173882
4477661-5,Q700070
4294583-5,Q318798
4407464-5,Q825047
4221082-3,Q1364052
4514224-5,Q262563
4659527-2,Q272162
4480297-3,Q1259104
4295532-4,Q11259
1060085488,Q1791798
4844020-6,Q581762
4801064-9,Q193639
4272961-0,Q155210
4104450-2,Q682188
